"Id","Parameter","Enhet","Enhet (Standard)","Faktor (Standard)","Enhet (Alternativ)","Faktor (Alternativ)","Antal värdesiffror"
"41","TOC","mg/l","mg/l C","1,000000000000","","",""
"174","TOC","mg/l C","mg/l C","1,000000000000","","",""
"112","Tot-N","µg/l","µg/l N","1,000000000000","","",""
"113","Tot-N","mg/l","µg/l N","1000,000000000000","","",""
"236","Tot-N","mg/l N","µg/l N","1000,000000000000","","",""
"243","Tot-N","µg/l N","µg/l N","1,000000000000","","",""
"162","Tot-N_F","µg/l","µg/l N","1,000000000000","","",""
"163","Tot-N_F","mg/l","µg/l N","1000,000000000000","","",""
"81","Tot-N_ps","µg/l","µg/l N","1,000000000000","","",""
"90","Tot-N_ps","mg/l","µg/l N","1000,000000000000","","",""
"172","Tot-N_ps","µg/l N","µg/l N","1,000000000000","","",""
"186","Tot-N_ps","mg/l N","µg/l N","1000,000000000000","","",""
"82","Tot-N_summa","µg/l","µg/l N","1,000000000000","","",""
"91","Tot-N_summa","mg/l","µg/l N","1000,000000000000","","",""
"204","Tot-N_summa","µg/l N","µg/l N","1,000000000000","","",""
"245","Tot-N_summa","mg/l N","µg/l N","1000,000000000000","","",""
"83","Tot-N_TNb","µg/l","µg/l N","1,000000000000","","",""
"92","Tot-N_TNb","mg/l","µg/l N","1000,000000000000","","",""
"177","Tot-N_TNb","µg/l N","µg/l N","1,000000000000","","",""
"244","Tot-N_TNb","mg/l N","µg/l N","1000,000000000000","","",""
"42","Tot-P","µg/l","µg/l P","1,000000000000","","",""
"74","Tot-P","mg/l","µg/l P","1000,000000000000","","",""
"173","Tot-P","µg/l P","µg/l P","1,000000000000","","",""
"185","Tot-P","mg/l P","µg/l P","1000,000000000000","","",""
"138","Tot-P_F","µg/l","µg/l P","1,000000000000","","",""
"139","Tot-P_F","mg/l","µg/l P","1000,000000000000","","",""
"198","Tot-P_F","µg/l P","µg/l P","1,000000000000","","",""
"246","Tot-P_F","mg/l P","µg/l P","1000,000000000000","","",""
"219","ts_vatten","mg/l","mg/l","1,000000000000","","",""
"262","Turb","","","1,000000000000","","",""
"85","Turb_FNU","FNU","FNU","1,000000000000","","",""
"199","Turb_FTU","FTU","FTU","1,000000000000","","",""
"192","Turb_JTU","JTU","JTU","1,000000000000","","",""
"207","Turb_NTU","NTU","NTU","1,000000000000","","",""
"86","Turb_ZP","ZP","ZP","1,000000000000","","",""
"124","U","µg/l","µg/l","1,000000000000","","",""
"156","U","mg/l","µg/l","1000,000000000000","","",""
"228","U_F","µg/l","µg/l","1,000000000000","","",""
"294","U_F","mg/l","µg/l","1000,000000000000","","",""
"43","V","µg/l","µg/l","1,000000000000","","",""
"157","V","mg/l","µg/l","1000,000000000000","","",""
"121","V_F","µg/l","µg/l","1,000000000000","","",""
"272","V_F","mg/l","µg/l","1000,000000000000","","",""
"40","Vattentemperatur","°C","°C","1,000000000000","","",""
"44","W","µg/l","µg/l","1,000000000000","","",""
"114","W_F","µg/l","µg/l","1,000000000000","","",""
"45","Zn","µg/l","µg/l","1,000000000000","","",""
"137","Zn","mg/l","µg/l","1000,000000000000","","",""
"115","Zn_F","µg/l","µg/l","1,000000000000","","",""
"217","Zn_F","mg/l","µg/l","1000,000000000000","","",""
